window_id,leg_id,shipment_id,container_id,product_id,window_start,window_end,avg_temp_c,max_temp_c,min_temp_c,temp_slope_c_per_hr,humidity_avg_pct,shock_count,door_open_count,minutes_outside_range,current_delay_min,battery_avg_pct,transit_phase,target_spoilage_risk_6h,prod_temp_low,prod_temp_high,prod_temp_mid,prod_temp_crit_low,prod_temp_crit_high,temp_deviation,temp_breach,temp_critical_breach,temp_margin,window_duration_min,hour_of_day,cumulative_breach_min,delay_acceleration,battery_drain_rate,rolling_temp_mean_3,rolling_temp_std_3,rolling_slope_mean_3,time_in_phase_min,leg_progress_pct,det_score,det_rules_fired,ml_score,final_score,risk_tier,recommended_actions,requires_human_approval
W00001,L0001,S001,C330,P02,2026-04-01 16:47:00,2026-04-01 17:12:00,5.032,5.103,4.982,-0.2335,53.24,0,0,0,0.0,91.94,loading_zone,0,2.0,8.0,5.0,0.0,12.0,0.03200000000000003,0,0,2.968,25.0,16,0,0.0,0.0,5.032,0.0,-0.2335,0.0,0.0,0.0,,0.0015596687,0.0009358012466691434,LOW,standard_monitoring,False
W00002,L0001,S001,C330,P02,2026-04-01 17:17:00,2026-04-01 17:42:00,5.08,5.188,4.962,0.1584,56.15,0,0,0,0.5,91.83,loading_zone,0,2.0,8.0,5.0,0.0,12.0,0.08000000000000007,0,0,2.92,25.0,17,0,0.5,-0.10999999999999943,5.056,0.033941125496954314,-0.03755,25.0,0.0044444444444444444,0.0,,0.001413048,0.0008478288655169308,LOW,standard_monitoring,False
W00003,L0001,S001,C330,P02,2026-04-01 17:47:00,2026-04-01 18:12:00,5.09,5.153,5.051,-0.0885,56.14,0,0,0,0.7,91.72,loading_zone,0,2.0,8.0,5.0,0.0,12.0,0.08999999999999986,0,0,2.91,25.0,17,0,0.19999999999999996,-0.10999999999999943,5.067333333333333,0.031005375877955987,-0.05453333333333333,50.0,0.008888888888888889,0.0,,0.0011745291,0.0007047174731269479,LOW,standard_monitoring,False
W00004,L0001,S001,C330,P02,2026-04-01 18:17:00,2026-04-01 18:42:00,4.971,5.076,4.907,-0.3885,55.29,0,0,0,1.1,91.61,loading_zone,0,2.0,8.0,5.0,0.0,12.0,0.028999999999999915,0,0,2.971,25.0,18,0,0.40000000000000013,-0.10999999999999943,5.047,0.06600757532283676,-0.1062,75.0,0.013333333333333334,0.0,,0.0009249551,0.0005549730849452317,LOW,standard_monitoring,False
W00005,L0001,S001,C330,P02,2026-04-01 18:47:00,2026-04-01 19:12:00,4.801,5.017,4.591,-0.8702,57.33,0,0,0,1.2,91.51,loading_zone,0,2.0,8.0,5.0,0.0,12.0,0.19899999999999984,0,0,2.801,25.0,18,0,0.09999999999999987,-0.09999999999999432,4.954,0.14524806367039766,-0.44906666666666667,100.0,0.017777777777777778,0.0,,0.0010237352,0.0006142411148175597,LOW,standard_monitoring,False
W00006,L0001,S001,C330,P02,2026-04-01 19:17:00,2026-04-01 19:42:00,4.538,4.581,4.498,-0.1683,54.45,0,0,0,1.6,91.42,loading_zone,0,2.0,8.0,5.0,0.0,12.0,0.46199999999999974,0,0,2.5380000000000003,25.0,19,0,0.40000000000000013,-0.09000000000000341,4.7700000000000005,0.21815819947918438,-0.4756666666666667,125.0,0.022222222222222223,0.0,,0.0004251966,0.00025511797866784036,LOW,standard_monitoring,False
W00007,L0001,S001,C330,P02,2026-04-01 19:47:00,2026-04-01 20:12:00,4.591,4.642,4.558,0.167,53.88,0,0,0,1.5,91.32,loading_zone,0,2.0,8.0,5.0,0.0,12.0,0.4089999999999998,0,0,2.591,25.0,19,0,-0.10000000000000009,-0.10000000000000853,4.6433333333333335,0.13909109724685015,-0.2904999999999999,150.0,0.02666666666666667,0.0,,0.00030404754,0.0001824285282054916,LOW,standard_monitoring,False
W00008,L0001,S001,C330,P02,2026-04-01 20:17:00,2026-04-01 20:42:00,4.719,4.908,4.564,0.743,54.08,0,0,0,1.5,91.22,loading_zone,0,2.0,8.0,5.0,0.0,12.0,0.2809999999999997,0,0,2.7190000000000003,25.0,20,0,0.0,-0.09999999999999432,4.6160000000000005,0.09305374790947064,0.24723333333333333,175.0,0.03111111111111111,0.0,,0.000727559,0.00043653539614751935,LOW,standard_monitoring,False
W00009,L0001,S001,C330,P02,2026-04-01 20:47:00,2026-04-01 21:12:00,4.93,4.993,4.866,0.0651,53.93,0,0,0,0.4,91.11,loading_zone,0,2.0,8.0,5.0,0.0,12.0,0.07000000000000028,0,0,2.9299999999999997,25.0,20,0,-1.1,-0.10999999999999943,4.746666666666667,0.17118508502008223,0.32503333333333334,200.0,0.035555555555555556,0.0,,0.001762696,0.001057617599144578,LOW,standard_monitoring,False
W00010,L0001,S001,C330,P02,2026-04-01 21:17:00,2026-04-01 21:42:00,5.167,5.266,5.043,0.4471,53.24,0,0,0,0.0,91.01,loading_zone,0,2.0,8.0,5.0,0.0,12.0,0.16699999999999982,0,0,2.833,25.0,21,0,-0.4,-0.09999999999999432,4.938666666666667,0.2241257087737444,0.41839999999999994,225.0,0.04,0.0,,0.0036850614,0.0022110368590801954,LOW,standard_monitoring,False
W00011,L0001,S001,C330,P02,2026-04-01 21:47:00,2026-04-01 22:12:00,5.203,5.275,5.125,-0.156,53.32,0,0,0,0.1,90.91,loading_zone,0,2.0,8.0,5.0,0.0,12.0,0.2030000000000003,0,0,2.7969999999999997,25.0,21,0,0.1,-0.10000000000000853,5.1000000000000005,0.14832059870429562,0.11873333333333332,250.0,0.044444444444444446,0.0,,0.0023467813,0.0014080688124522567,LOW,standard_monitoring,False
W00012,L0001,S001,C330,P02,2026-04-01 22:17:00,2026-04-01 22:42:00,4.964,5.091,4.885,-0.4793,55.88,0,0,0,0.3,90.8,loading_zone,0,2.0,8.0,5.0,0.0,12.0,0.03599999999999959,0,0,2.9640000000000004,25.0,22,0,0.19999999999999998,-0.10999999999999943,5.1113333333333335,0.12885780276465214,-0.06273333333333332,275.0,0.04888888888888889,0.0,,0.0013319801,0.0007991880993358791,LOW,standard_monitoring,False
W00013,L0001,S001,C330,P02,2026-04-01 22:47:00,2026-04-01 23:12:00,4.995,5.057,4.896,0.2242,52.02,0,0,0,1.3,90.69,loading_zone,0,2.0,8.0,5.0,0.0,12.0,0.004999999999999893,0,0,2.995,25.0,22,0,1.0,-0.10999999999999943,5.054,0.12996538000560207,-0.1370333333333333,300.0,0.05333333333333334,0.0,,0.0010457569,0.000627454137429595,LOW,standard_monitoring,False
W00014,L0001,S001,C330,P02,2026-04-01 23:17:00,2026-04-01 23:42:00,5.121,5.168,5.05,0.0261,58.4,0,0,0,0.5,90.61,loading_zone,0,2.0,8.0,5.0,0.0,12.0,0.12100000000000044,0,0,2.8789999999999996,25.0,23,0,-0.8,-0.0799999999999983,5.026666666666666,0.08315247039826179,-0.07633333333333332,325.0,0.057777777777777775,0.0,,0.0013424443,0.0008054666104726493,LOW,standard_monitoring,False
