window_id,leg_id,shipment_id,container_id,product_id,window_start,window_end,avg_temp_c,max_temp_c,min_temp_c,temp_slope_c_per_hr,humidity_avg_pct,shock_count,door_open_count,minutes_outside_range,current_delay_min,battery_avg_pct,transit_phase,target_spoilage_risk_6h
W00001,L0001,S001,C330,P02,2026-04-01 16:47,2026-04-01 17:12,5.032,5.103,4.982,-0.2335,53.24,0,0,0,0,91.94,loading_zone,0
W00002,L0001,S001,C330,P02,2026-04-01 17:17,2026-04-01 17:42,5.08,5.188,4.962,0.1584,56.15,0,0,0,0.5,91.83,loading_zone,0
W00003,L0001,S001,C330,P02,2026-04-01 17:47,2026-04-01 18:12,5.09,5.153,5.051,-0.0885,56.14,0,0,0,0.7,91.72,loading_zone,0
W00004,L0001,S001,C330,P02,2026-04-01 18:17,2026-04-01 18:42,4.971,5.076,4.907,-0.3885,55.29,0,0,0,1.1,91.61,loading_zone,0
W00005,L0001,S001,C330,P02,2026-04-01 18:47,2026-04-01 19:12,4.801,5.017,4.591,-0.8702,57.33,0,0,0,1.2,91.51,loading_zone,0
W00006,L0001,S001,C330,P02,2026-04-01 19:17,2026-04-01 19:42,4.538,4.581,4.498,-0.1683,54.45,0,0,0,1.6,91.42,loading_zone,0
W00007,L0001,S001,C330,P02,2026-04-01 19:47,2026-04-01 20:12,4.591,4.642,4.558,0.167,53.88,0,0,0,1.5,91.32,loading_zone,0
W00008,L0001,S001,C330,P02,2026-04-01 20:17,2026-04-01 20:42,4.719,4.908,4.564,0.743,54.08,0,0,0,1.5,91.22,loading_zone,0
W00009,L0001,S001,C330,P02,2026-04-01 20:47,2026-04-01 21:12,4.93,4.993,4.866,0.0651,53.93,0,0,0,0.4,91.11,loading_zone,0
W00010,L0001,S001,C330,P02,2026-04-01 21:17,2026-04-01 21:42,5.167,5.266,5.043,0.4471,53.24,0,0,0,0,91.01,loading_zone,0
W00011,L0001,S001,C330,P02,2026-04-01 21:47,2026-04-01 22:12,5.203,5.275,5.125,-0.156,53.32,0,0,0,0.1,90.91,loading_zone,0
W00012,L0001,S001,C330,P02,2026-04-01 22:17,2026-04-01 22:42,4.964,5.091,4.885,-0.4793,55.88,0,0,0,0.3,90.8,loading_zone,0
W00013,L0001,S001,C330,P02,2026-04-01 22:47,2026-04-01 23:12,4.995,5.057,4.896,0.2242,52.02,0,0,0,1.3,90.69,loading_zone,0
W00014,L0001,S001,C330,P02,2026-04-01 23:17,2026-04-01 23:42,5.121,5.168,5.05,0.0261,58.4,0,0,0,0.5,90.61,loading_zone,0
W00015,L0001,S001,C330,P02,2026-04-01 23:47,2026-04-02 00:12,5.118,5.219,5.035,-0.3686,54.77,0,0,0,1.0,90.51,loading_zone,0
W00016,L0001,S001,C330,P02,2026-04-02 00:17,2026-04-02 00:42,5.144,5.33,5.025,0.3867,53.93,0,0,0,1.4,90.4,loading_zone,0
W00017,L0001,S001,C330,P02,2026-04-02 00:47,2026-04-02 01:12,5.12,5.213,5.036,-0.0456,54.81,0,0,0,1.8,90.29,loading_zone,0
W00018,L0001,S001,C330,P02,2026-04-02 01:17,2026-04-02 01:42,5.029,5.144,4.916,-0.0614,54.02,0,0,0,0.5,90.19,loading_zone,0
W00019,L0001,S001,C330,P02,2026-04-02 01:47,2026-04-02 02:12,5.239,5.307,5.169,-0.0182,55.59,0,0,0,1.8,90.09,loading_zone,0
W00020,L0001,S001,C330,P02,2026-04-02 02:17,2026-04-02 02:42,5.237,5.413,5.027,-0.5393,53.29,0,0,0,1.5,90.0,loading_zone,0
W00021,L0001,S001,C330,P02,2026-04-02 02:47,2026-04-02 03:12,5.099,5.136,5.051,-0.1838,55.21,0,0,0,2.5,89.89,loading_zone,0
W00022,L0001,S001,C330,P02,2026-04-02 03:17,2026-04-02 03:42,4.972,5.076,4.833,-0.5445,55.36,0,0,0,2.4,89.79,loading_zone,0
